event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum
2016-02-13 08:25:00.000,2016-02-13 08:31:00.000,2016-02-13 08:34:00.000,C1.3,2497
2016-02-13 10:04:00.000,2016-02-13 10:09:00.000,2016-02-13 10:13:00.000,C2.8,2497
2016-02-13 10:58:00.000,2016-02-13 11:00:00.000,2016-02-13 11:06:00.000,B8.5,2497
2016-02-13 13:32:00.000,2016-02-13 13:43:00.000,2016-02-13 13:58:00.000,B6.9,2497
2016-02-13 15:16:00.000,2016-02-13 15:24:00.000,2016-02-13 15:26:00.000,M1.8,2497
2016-02-13 18:50:00.000,2016-02-13 18:55:00.000,2016-02-13 19:02:00.000,C1.6,2497
2016-02-13 20:45:00.000,2016-02-13 21:00:00.000,2016-02-13 21:12:00.000,C2.5,2497
2016-02-13 21:29:00.000,2016-02-13 21:34:00.000,2016-02-13 21:40:00.000,C1.1,2497
2016-02-13 21:57:00.000,2016-02-13 22:01:00.000,2016-02-13 22:06:00.000,B9.5,2497
2016-02-13 22:07:00.000,2016-02-13 22:12:00.000,2016-02-13 22:16:00.000,C2.1,0
2016-02-14 00:51:00.000,2016-02-14 00:58:00.000,2016-02-14 01:02:00.000,B9.6,2497
2016-02-14 01:18:00.000,2016-02-14 01:21:00.000,2016-02-14 01:26:00.000,C1.3,2500
2016-02-14 03:06:00.000,2016-02-14 03:17:00.000,2016-02-14 03:31:00.000,C1.1,0
2016-02-14 04:27:00.000,2016-02-14 04:39:00.000,2016-02-14 04:52:00.000,C3.4,2497
2016-02-14 08:30:00.000,2016-02-14 08:33:00.000,2016-02-14 08:36:00.000,C1.0,2497
2016-02-14 09:52:00.000,2016-02-14 09:58:00.000,2016-02-14 10:30:00.000,C6.9,2497
2016-02-14 11:53:00.000,2016-02-14 11:57:00.000,2016-02-14 12:01:00.000,C1.4,2497
2016-02-14 19:18:00.000,2016-02-14 19:26:00.000,2016-02-14 19:29:00.000,M1.0,2497
2016-02-14 21:10:00.000,2016-02-14 21:18:00.000,2016-02-14 21:27:00.000,C2.4,2497
2016-02-15 04:02:00.000,2016-02-15 04:18:00.000,2016-02-15 04:24:00.000,C3.9,2497
2016-02-15 05:27:00.000,2016-02-15 05:33:00.000,2016-02-15 05:38:00.000,C1.4,2497
2016-02-15 06:35:00.000,2016-02-15 06:38:00.000,2016-02-15 06:40:00.000,B6.4,2497
2016-02-15 07:20:00.000,2016-02-15 07:23:00.000,2016-02-15 07:32:00.000,B9.1,2497
2016-02-15 08:26:00.000,2016-02-15 08:41:00.000,2016-02-15 08:46:00.000,C5.2,2497
2016-02-15 09:29:00.000,2016-02-15 09:34:00.000,2016-02-15 09:44:00.000,C2.3,2497
2016-02-15 10:41:00.000,2016-02-15 11:00:00.000,2016-02-15 11:06:00.000,M1.1,2497
2016-02-15 14:40:00.000,2016-02-15 15:04:00.000,2016-02-15 15:13:00.000,C3.3,2497
2016-02-15 17:14:00.000,2016-02-15 17:23:00.000,2016-02-15 17:27:00.000,C2.5,2497
2016-02-15 17:32:00.000,2016-02-15 17:34:00.000,2016-02-15 17:36:00.000,C1.6,2497
2016-02-15 17:46:00.000,2016-02-15 17:52:00.000,2016-02-15 18:00:00.000,C4.2,2497
2016-02-15 18:08:00.000,2016-02-15 18:12:00.000,2016-02-15 18:15:00.000,C2.2,2497
2016-02-15 18:42:00.000,2016-02-15 18:46:00.000,2016-02-15 18:49:00.000,C2.9,2497
2016-02-15 19:31:00.000,2016-02-15 19:37:00.000,2016-02-15 19:41:00.000,C1.2,2497
2016-02-15 19:46:00.000,2016-02-15 19:52:00.000,2016-02-15 19:55:00.000,C1.7,2497
2016-02-15 20:02:00.000,2016-02-15 20:06:00.000,2016-02-15 20:10:00.000,C1.6,2497
2016-02-15 20:53:00.000,2016-02-15 20:58:00.000,2016-02-15 21:05:00.000,C1.2,2497
2016-02-15 21:14:00.000,2016-02-15 21:40:00.000,2016-02-15 21:49:00.000,C4.1,2497
2016-02-16 11:34:00.000,2016-02-16 11:38:00.000,2016-02-16 11:46:00.000,B5.4,2497
2016-02-16 13:36:00.000,2016-02-16 13:52:00.000,2016-02-16 13:57:00.000,C1.9,2497
2016-02-16 15:29:00.000,2016-02-16 15:48:00.000,2016-02-16 15:53:00.000,C2.1,2497
2016-02-16 16:47:00.000,2016-02-16 16:50:00.000,2016-02-16 16:57:00.000,C1.2,2497
2016-02-16 18:44:00.000,2016-02-16 18:50:00.000,2016-02-16 18:53:00.000,C2.8,2497
2016-02-16 22:10:00.000,2016-02-16 22:15:00.000,2016-02-16 22:32:00.000,B8.2,2497
2016-02-16 22:51:00.000,2016-02-16 22:58:00.000,2016-02-16 23:01:00.000,C1.3,2497
2016-02-16 23:32:00.000,2016-02-16 23:37:00.000,2016-02-16 23:40:00.000,B9.8,2497
2016-02-17 00:41:00.000,2016-02-17 00:46:00.000,2016-02-17 00:46:00.000,B9.6,2497
2016-02-17 01:03:00.000,2016-02-17 01:10:00.000,2016-02-17 01:14:00.000,C1.4,2497
2016-02-17 01:44:00.000,2016-02-17 01:48:00.000,2016-02-17 01:50:00.000,C2.2,2497
