,event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum,Origin,Proximity Flag
51,2016-01-15 15:18:00.000,2016-01-15 15:25:00.000,2016-01-15 15:31:00.000,C1.7,2480,SSW,False
52,2016-01-15 17:41:00.000,2016-01-15 17:45:00.000,2016-01-15 17:48:00.000,B4.4,2480,SSW,False
53,2016-01-15 19:56:00.000,2016-01-15 20:02:00.000,2016-01-15 20:05:00.000,B8.6,2480,SSW,False
54,2016-01-15 20:09:00.000,2016-01-15 20:16:00.000,2016-01-15 20:36:00.000,B8.8,2480,SSW,True
55,2016-01-15 21:59:00.000,2016-01-15 22:03:00.000,2016-01-15 22:05:00.000,C1.1,2480,SSW,False
56,2016-01-16 00:14:00.000,2016-01-16 00:17:00.000,2016-01-16 00:19:00.000,B5.6,2480,SSW,False
57,2016-01-16 01:28:00.000,2016-01-16 01:31:00.000,2016-01-16 01:33:00.000,B3.2,12480,GOES,False
58,2016-01-16 03:32:00.000,2016-01-16 03:36:00.000,2016-01-16 03:39:00.000,B8.7,2480,SSW,False
59,2016-01-16 06:40:00.000,2016-01-16 06:57:00.000,2016-01-16 07:05:00.000,B6.0,2485,SSW,False
60,2016-01-16 11:15:00.000,2016-01-16 11:18:00.000,2016-01-16 11:21:00.000,B4.5,2480,SSW,False
61,2016-01-16 13:20:00.000,2016-01-16 13:24:00.000,2016-01-16 13:27:00.000,B3.5,2480,SSW,False
62,2016-01-16 20:05:00.000,2016-01-16 20:09:00.000,2016-01-16 20:11:00.000,B4.2,2480,SSW,False
63,2016-01-17 10:36:00.000,2016-01-17 10:49:00.000,2016-01-17 11:12:00.000,B3.7,2485,SSW,False
64,2016-01-18 15:58:00.000,2016-01-18 16:25:00.000,2016-01-18 16:36:00.000,B3.9,2485,SSW,False
65,2016-01-19 03:28:00.000,2016-01-19 03:38:00.000,2016-01-19 03:42:00.000,B2.6,0,SSW,False
66,2016-01-19 08:49:00.000,2016-01-19 09:00:00.000,2016-01-19 09:06:00.000,B2.9,2485,SSW,False
67,2016-01-19 10:33:00.000,2016-01-19 10:36:00.000,2016-01-19 10:41:00.000,B4.1,0,SSW,False
68,2016-01-19 20:47:00.000,2016-01-19 21:12:00.000,2016-01-19 21:44:00.000,B5.5,2487,SSW,False
69,2016-01-20 00:58:00.000,2016-01-20 01:02:00.000,2016-01-20 01:04:00.000,B3.7,0,SSW,False
70,2016-01-20 04:40:00.000,2016-01-20 04:46:00.000,2016-01-20 04:52:00.000,B6.6,2484,SSW,False
71,2016-01-20 07:30:00.000,2016-01-20 07:34:00.000,2016-01-20 07:36:00.000,C1.3,2484,SSW,False
72,2016-01-20 08:09:00.000,2016-01-20 08:13:00.000,2016-01-20 08:18:00.000,B4.9,2484,SSW,False
73,2016-01-20 08:45:00.000,2016-01-20 08:49:00.000,2016-01-20 09:00:00.000,B5.2,2484,SSW,True
74,2016-01-20 09:11:00.000,2016-01-20 09:18:00.000,2016-01-20 09:21:00.000,B8.4,2484,SSW,True
75,2016-01-20 11:15:00.000,2016-01-20 11:19:00.000,2016-01-20 11:24:00.000,B9.6,2487,SSW,False
76,2016-01-20 14:25:00.000,2016-01-20 14:32:00.000,2016-01-20 14:34:00.000,C1.3,2487,SSW,False
77,2016-01-20 16:37:00.000,2016-01-20 16:40:00.000,2016-01-20 16:42:00.000,B4.1,2487,SSW,False
78,2016-01-20 17:04:00.000,2016-01-20 17:09:00.000,2016-01-20 17:13:00.000,B4.8,2487,SSW,True
79,2016-01-20 17:38:00.000,2016-01-20 17:41:00.000,2016-01-20 17:44:00.000,B3.8,2487,SSW,True
80,2016-01-21 01:17:00.000,2016-01-21 01:45:00.000,2016-01-21 01:53:00.000,C2.9,2487,SSW,False
81,2016-01-21 05:36:00.000,2016-01-21 05:44:00.000,2016-01-21 05:52:00.000,C1.3,12488,GOES,False
82,2016-01-21 05:36:00.000,2016-01-21 05:42:00.000,2016-01-21 05:52:00.000,C1.3,2488,SSW,True
83,2016-01-21 08:01:00.000,2016-01-21 08:13:00.000,2016-01-21 08:27:00.000,C1.1,2484,SSW,False
84,2016-01-21 13:22:00.000,2016-01-21 13:51:00.000,2016-01-21 14:19:00.000,C1.4,2487,SSW,False
85,2016-01-22 02:22:00.000,2016-01-22 02:43:00.000,2016-01-22 03:00:00.000,B3.9,0,SSW,False
86,2016-01-22 02:23:00.000,2016-01-22 02:43:00.000,2016-01-22 02:51:00.000,B3.8,2488,SSW,True
87,2016-01-22 23:47:00.000,2016-01-22 23:52:00.000,2016-01-22 23:55:00.000,B7.1,2488,SSW,False
88,2016-01-23 00:53:00.000,2016-01-23 00:57:00.000,2016-01-23 01:04:00.000,B4.3,2487,SSW,False
89,2016-01-24 00:01:00.000,2016-01-24 00:05:00.000,2016-01-24 00:09:00.000,B4.5,2487,SSW,False
90,2016-01-24 04:06:00.000,2016-01-24 04:54:00.000,2016-01-24 06:45:00.000,C1.4,2488,SSW,False
91,2016-01-24 04:07:00.000,2016-01-24 04:55:00.000,2016-01-24 05:38:00.000,C1.4,2488,SSW,True
92,2016-01-24 08:20:00.000,2016-01-24 08:24:00.000,2016-01-24 08:30:00.000,B5.9,0,SSW,False
93,2016-01-24 10:21:00.000,2016-01-24 10:55:00.000,2016-01-24 11:09:00.000,B5.7,2488,SSW,False
94,2016-01-24 11:42:00.000,2016-01-24 12:00:00.000,2016-01-24 12:16:00.000,B6.1,0,SSW,False
95,2016-01-24 12:48:00.000,2016-01-24 13:00:00.000,2016-01-24 13:18:00.000,B5.9,0,SSW,False
96,2016-01-24 14:03:00.000,2016-01-24 14:15:00.000,2016-01-24 14:27:00.000,B4.6,0,SSW,False
97,2016-01-24 22:12:00.000,2016-01-24 22:17:00.000,2016-01-24 22:22:00.000,B7.4,2488,SSW,False
98,2016-01-25 06:50:00.000,2016-01-25 06:54:00.000,2016-01-25 07:01:00.000,B8.0,0,SSW,False
99,2016-01-25 07:52:00.000,2016-01-25 07:54:00.000,2016-01-25 07:57:00.000,B4.9,0,SSW,False
