,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Peak Time NoSub,Peak Time,Peak Flux,Background End Time,Fancy Temp,Fancy Temp Nosub,Fancy EM,Fancy EM Nosub,Fancy Tdelta,Peak Temp Long,Peak EM Long,Peak Temp Short,Peak EM Short,Flare Max Temp,Flare Max EM,Temp 1/8,EM 1/8,Tdelta 1/8,Temp 1/6,EM 1/6,Tdelta 1/6,Temp 1/4,EM 1/4,Tdelta 1/4,Temp 1/3,EM 1/3,Tdelta 1/3,Temp 1/2,EM 1/2,Tdelta 1/2,Temp 2/3,EM 2/3,Tdelta 2/3,Temp 3/4,EM 3/4,Tdelta 3/4,Background Flag,Onset Flag
0,2016-01-01 04:38:00.000,2016-01-01 04:41:00.000,2016-01-01 04:51:00.000,B6.2,850.36092,-298.99632,2473,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,3.5650152e-07,2016-01-01 04:38:40.000,9.256781198864333,,1.747589497841743e+46,,44.6445,8.595232591877247,2.356992974658229e+47,9.730964777911232,1.5902613476697414e+47,,,9.61620276766328,6.696640820946618e+45,22.57225,8.847699559889517,1.0441669669887948e+46,30.096333,9.426786340739465,1.54516806437357e+46,45.1445,8.937799670177473,2.558028871657052e+46,60.192667,8.410322455861197,4.737965720671133e+46,90.289,8.613293466896733,7.001594134376352e+46,120.385333,8.832425736012839,7.856917743362896e+46,135.4335,0.0,
1,2016-01-01 06:33:00.000,2016-01-01 06:38:00.000,2016-01-01 06:43:00.000,C2.3,855.34758,-282.6777,2473,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,2.6403995e-06,2016-01-01 06:31:50.000,10.911408127208404,,2.086488107483976e+47,,110.0,11.391542469681896,1.1994876113411221e+48,11.683413946074484,1.1412642151291352e+48,,,13.825431596309567,6.195360210629272e+45,49.598125,13.454529548080439,7.195055494993863e+45,66.130833,12.197367900260332,1.163642159013345e+46,99.19625,11.308435191359205,1.7941133572859448e+46,132.261667,9.95874688665298,3.154812542160247e+46,198.3925,10.630122126980675,7.909565009953712e+46,264.523333,10.96963939586255,1.2012183177355467e+47,297.58875,0.0,
2,2016-01-01 09:36:00.000,2016-01-01 09:48:00.000,2016-01-01 09:56:00.000,C2.4,883.41276,-286.433646,2473,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,2.7432577e-06,2016-01-01 09:37:50.000,9.926410873024654,,2.4516501261844004e+47,,100.0,9.909774662601468,1.4742008040284527e+48,11.06861189962886,1.1841716832286194e+48,,,10.294696712266777,5.652416396843345e+46,80.766,9.66019617790995,8.115396245537817e+46,107.688,9.76135202473961,1.3075464515145618e+47,161.532,10.083643971719498,1.8643207851724776e+47,215.376,10.670709556725264,3.173792005741166e+47,323.064,10.876067520461058,4.631098569362898e+47,430.752,10.894669049821914,5.3366190347482895e+47,484.596,0.0,
3,2016-01-01 17:30:00.000,2016-01-01 17:36:00.000,2016-01-01 17:43:00.000,B8.4,872.98962,-284.654142,2473,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,6.701761e-07,2016-01-01 17:31:50.000,9.279195233262168,,2.923476521241832e+47,,90.0,8.783448040211733,4.282474622371606e+47,9.400189929524856,3.5464883462195214e+47,,,8.913203998459103,3.488045566708819e+46,36.011875,8.86833463332386,4.302230127597613e+46,48.015833,9.288327744524596,5.799019661703277e+46,72.02375,9.327409206049671,8.385668213696698e+46,96.031667,9.37416094397646,1.342753631989973e+47,144.0475,9.35343902223975,1.7584305510389548e+47,192.063333,9.28219979294942,1.9245316933820003e+47,216.07125,0.0,
4,2016-01-01 20:18:00.000,2016-01-01 20:21:00.000,2016-01-01 20:23:00.000,B5.5,872.85366,-318.52686,2473,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,3.158808e-07,2016-01-01 20:19:55.715,6.966885387306893,,3.211001419807988e+46,,13.324,8.427465415773849,2.1559812394924836e+47,9.160517826626025,1.6914456199951774e+47,,,3.775994802419304,9.654441333470237e+46,6.912,5.390715978948917,3.4882703972551534e+46,9.216,5.949501983172391,3.710275051460539e+46,13.824,7.6224952589685655,2.7673541157877647e+46,18.432,7.0036413386501115,6.170587158928454e+46,27.648,7.617638418122248,7.724347120247491e+46,36.864,7.8532816626571975,9.143578712013481e+46,41.472,0.0,
5,2016-01-01 22:25:00.000,2016-01-01 22:30:00.000,2016-01-01 22:33:00.000,C2.7,870.3405,-352.009296,2473,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,3.4478253e-06,2016-01-01 22:27:00.000,8.064756219305048,,3.610917027818234e+46,,42.107,11.1672027473955,1.6008995143532097e+48,11.779350050341687,1.4528968711655215e+48,,,5.8080748451822295,5.023742786049516e+46,21.3035,6.730324505731423,3.861079415017201e+46,28.404667,7.743550941168633,3.6406511238505743e+46,42.607,8.692339476375157,3.918884575827962e+46,56.809333,8.728475471573264,9.259460186099244e+46,85.214,10.0546304657176,2.0579165711326756e+47,113.618667,10.800108552544149,2.837720313529911e+47,127.821,0.0,
6,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,3.2388383e-05,2016-01-01 23:08:10.000,9.921958100092892,,3.971658824863591e+47,,150.0,9.915412810904405,1.7392063154199564e+49,10.762034567128438,1.3855315956008328e+49,,,10.46914103854431,5.962765400905135e+47,471.341,10.518176870688292,8.734517752140004e+47,628.454667,10.31442654310305,1.4658953115166995e+48,942.682,10.357552027587348,2.0257819070257055e+48,1256.909333,11.000034855060294,3.2219597548196796e+48,1885.364,11.330389679051752,4.786077518019459e+48,2513.818667,11.2614331334372,5.639459949937325e+48,2828.046,0.0,
7,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,3.2388383e-05,2016-01-01 23:08:10.000,9.921958100092892,,3.971658824863591e+47,,150.0,9.915412810904405,1.7392063154199564e+49,10.762034567128438,1.3855315956008328e+49,,,10.46914103854431,5.962765400905135e+47,471.341,10.518176870688292,8.734517752140004e+47,628.454667,10.31442654310305,1.4658953115166995e+48,942.682,10.357552027587348,2.0257819070257055e+48,1256.909333,11.000034855060294,3.2219597548196796e+48,1885.364,11.330389679051752,4.786077518019459e+48,2513.818667,11.2614331334372,5.639459949937325e+48,2828.046,0.0,
8,2016-01-03 20:20:00.000,2016-01-03 20:24:00.000,2016-01-03 20:27:00.000,B4.7,-595.24614,-109.382712,2476,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,2.3158543e-07,2016-01-03 20:21:41.875,9.332027422557557,,4.798567576708776e+46,,66.125,10.422926360234536,1.1665708174883346e+47,10.581678580043048,1.107923866857815e+47,,,11.907883899818533,7.728981450825145e+45,19.45575,12.439575067966198,9.145426964961236e+45,25.941,10.08565166563497,2.1904823272533747e+46,38.9115,9.507196527198463,3.4071061652670225e+46,51.882,9.343244562500796,5.336974944276336e+46,77.823,9.288444354986815,6.50337697263372e+46,103.764,9.17774349286631,7.176219572289352e+46,116.7345,0.0,
9,2016-01-04 06:17:00.000,2016-01-04 06:21:00.000,2016-01-04 06:24:00.000,B4.1,-217.024158,224.278872,0,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,2.5303777e-07,2016-01-04 06:19:04.035,7.528559371325657,,2.7183565888126484e+46,,35.34,8.596223978755088,1.6726396141164071e+47,9.178540658118196,1.423289620764649e+47,,,8.920103515381207,1.1247540125605972e+46,17.92,8.44042100548564,1.4690613526769193e+46,23.893333,7.699269187076128,2.3566751070650177e+46,35.84,7.8437485175562385,3.4804840806085853e+46,47.786667,8.051456821254147,6.128218589103487e+46,71.68,7.9839869054742945,8.461515076331268e+46,95.573333,7.989755986618571,9.357889477300467e+46,107.52,0.0,
