,Unnamed: 0,event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum,Origin,Proximity Flag,Peak Time Long,Peak Time Short,Peak Flux,Background Start Time,Background End Time,Onset Start Time,Peak Temp Long,Peak EM Long,Peak Temp Short,Peak EM Short,Flare Max Temp,Flare Max EM,Temp 1/8,Temp 1/8 Upper,Temp 1/8 Lower,EM 1/8,EM 1/8 Error,Tdelta 1/8,Temp 1/6,Temp 1/6 Upper,Temp 1/6 Lower,EM 1/6,EM 1/6 Error,Tdelta 1/6,Temp 1/4,Temp 1/4 Upper,Temp 1/4 Lower,EM 1/4,EM 1/4 Error,Tdelta 1/4,Temp 1/3,Temp 1/3 Upper,Temp 1/3 Lower,EM 1/3,EM 1/3 Error,Tdelta 1/3,Temp 1/2,Temp 1/2 Upper,Temp 1/2 Lower,EM 1/2,EM 1/2 Error,Tdelta 1/2,Background Flag,FileNotFound Flag,IndexError Flag
0,0,2016-01-01 04:38:00,2016-01-01 04:41:00,2016-01-01 04:51:00,B6.2,2473,SSW,False,2016-01-01 04:41:40.578,2016-01-01 04:40:55.525,3.5818863e-07,2016-01-01 04:37:30,2016-01-01 04:38:30,2016-01-01 04:39:13.121,8.563639598357582,2.3821289964019257e+47,9.690503068982212,1.6086843456056272e+47,9.748642936398532,1.3061439297391044e+47,8.991089011950082,9.38043825416368,8.583456415118741,3.635375707840449e+46,3.3839912759952155e+45,18.432125,8.838868256510517,9.197554944856613,8.464732576042971,4.1057636203463243e+46,3.732736887162301e+45,24.576167,8.466029006576422,8.802287417519475,8.116882078646505,5.361157937001311e+46,5.057914116507025e+45,36.86425,8.286391457147595,8.613371847428912,7.947021393974317,6.297710681268583e+46,6.049449465147836e+45,49.152333,7.964662522327887,8.293881204131512,7.621193128844129,8.767409072919703e+46,9.006087897279758e+45,73.7285,0.0,False,False
1,1,2016-01-01 06:33:00,2016-01-01 06:38:00,2016-01-01 06:43:00,C2.3,2473,SSW,False,2016-01-01 06:38:26.785,2016-01-01 06:38:12.448,2.6403995e-06,2016-01-01 06:30:50,2016-01-01 06:31:50,2016-01-01 06:32:36.575,11.391542469681896,1.1994876113411221e+48,11.683413946074484,1.1412642151291352e+48,11.837147837640057,1.0325255365017518e+48,11.206411149921395,11.783954760019848,10.57199125001489,1.5561908203043504e+46,1.367097675465871e+45,43.77625,11.22363808364444,11.79966635938953,10.590970306989517,1.8808743132983516e+46,1.7674168342112077e+45,58.368333,10.499059305219658,10.928086507233964,10.043379364044322,2.569716479692985e+46,2.0578217521985648e+45,87.5525,9.61334646466068,9.952278549021976,9.260647577336337,3.1230999611279497e+46,2.1063270822856526e+45,116.736667,8.984573515847703,9.441464658345144,8.502349426634975,5.470701327313488e+46,6.087762112512012e+45,175.105,0.0,False,False
2,2,2016-01-01 09:36:00,2016-01-01 09:48:00,2016-01-01 09:56:00,C2.4,2473,SSW,False,2016-01-01 09:48:36.128,2016-01-01 09:46:35.298,2.7432577e-06,2016-01-01 09:36:50,2016-01-01 09:37:50,2016-01-01 09:38:17.635,9.909774662601468,1.4742008040284527e+48,11.06861189962886,1.1841716832286194e+48,11.25215203340819,8.021346323173993e+47,9.510999451353317,9.793038079588221,9.219787875751154,9.32140281980558e+46,6.447686348763442e+45,77.311625,9.402933738518197,9.743757545147355,9.048593540201667,1.164038523041858e+47,9.321394408845146e+45,103.082167,9.493153187004197,9.929238445633448,9.034364064669614,1.6559662038918045e+47,1.5640082560311148e+46,154.62325,9.559726712344123,10.003398355691708,9.092211086060551,2.166650456929923e+47,2.028589426241831e+46,206.164333,9.646382340208072,10.093921008970877,9.173907731476387,3.271162164311456e+47,2.9884498659690493e+46,309.2465,0.0,False,False
3,3,2016-01-01 17:30:00,2016-01-01 17:36:00,2016-01-01 17:43:00,B8.4,2473,SSW,False,2016-01-01 17:36:38.095,2016-01-01 17:35:48.945,6.701761e-07,2016-01-01 17:30:50,2016-01-01 17:31:50,2016-01-01 17:32:24.145,8.783448040211733,4.282474622371606e+47,9.400189929524856,3.5464883462195214e+47,9.692780198370981,2.8146507972101364e+47,9.022274899958282,9.40318978793203,8.623891018375698,7.70399790064303e+46,6.288415754939719e+45,31.74375,9.193327382319838,9.638595958488969,8.724299642678691,8.465776710254154e+46,7.94366031802206e+45,42.325,9.060536476920504,9.51083520304579,8.58570222755229,1.1338288702183315e+47,1.1934317301367664e+46,63.4875,8.992037801926612,9.419180133040697,8.542814221571449,1.3758796097602888e+47,1.3992545713406759e+46,84.65,8.962576836356748,9.338062974291118,8.570099681245644,1.7953067834611609e+47,1.5949702971539807e+46,126.975,0.0,False,False
4,4,2016-01-01 20:18:00,2016-01-01 20:21:00,2016-01-01 20:23:00,B5.5,2473,SSW,False,2016-01-01 20:20:51.011,2016-01-01 20:20:40.771,3.158808e-07,2016-01-01 20:18:20,2016-01-01 20:19:20,2016-01-01 20:20:10.051,8.427465415773849,2.1559812394924836e+47,9.160517826626025,1.6914456199951774e+47,9.160517826626025,1.6914456199951774e+47,9.408609440943474,9.875225029350206,8.916010454276332,3.8133473451966334e+46,4.1645833651267385e+45,5.12,8.381242556086312,9.013580544899268,7.699695471649802,5.130747844511345e+46,8.866527224386701e+45,6.8266670000000005,7.140823967044677,7.756749398421568,6.464636396282667,8.459885059634951e+46,1.9124441510261245e+46,10.24,7.163340694470674,7.771694716117199,6.496652925894264,9.155332930203464e+46,2.0366434717911229e+46,13.653333,7.504385170434531,8.19575730055354,6.74328613256003,1.1150170028734666e+47,2.4985010109942155e+46,20.48,0.0,False,False
5,5,2016-01-01 22:25:00,2016-01-01 22:30:00,2016-01-01 22:33:00,C2.7,2473,SSW,False,2016-01-01 22:29:50.428,2016-01-01 22:29:31.995,3.4478253e-06,2016-01-01 22:26:00,2016-01-01 22:27:00,2016-01-01 22:27:41.401,11.1672027473955,1.6008995143532097e+48,11.779350050341687,1.4528968711655215e+48,12.065018138679113,1.2332539533134134e+48,9.961941109194036,10.335263857466002,9.569075453001648,5.29118999752162e+46,4.606769172955025e+45,16.128375,9.599279938749369,10.083633617585033,9.085905311512313,6.608394820388831e+46,7.815419960956098e+45,21.5045,8.94469150025963,9.466664835205643,8.389480605979083,9.66999786743156e+46,1.4032767994911443e+46,32.25675,8.724175218715128,9.376436573993255,8.019847494335778,1.3120768687658693e+47,2.3072735947119094e+46,43.009,8.449301537806504,9.358570874715324,7.433276617736094,2.416816702278324e+47,5.893822145104029e+46,64.5135,0.0,False,False
6,6,2016-01-01 23:10:00,2016-01-02 00:11:00,2016-01-02 01:01:00,M2.3,12473,GOES,False,2016-01-02 00:11:00.728,2016-01-01 23:56:20.085,3.2388383e-05,2016-01-01 23:07:10,2016-01-01 23:08:10,2016-01-01 23:08:51.301,9.915412810904405,1.7392063154199564e+49,10.762034567128438,1.3855315956008328e+49,11.820847518969229,8.341129429795041e+48,9.898940676638524,10.213389309545898,9.570967978439572,6.483828106492002e+47,4.062463072831089e+46,466.178375,9.855024411642626,10.145710527438759,9.553033609887885,8.633758848204215e+47,5.066590469595552e+46,621.571167,9.74571389968507,9.990529489963183,9.493397877188302,1.2747519995359157e+48,6.462191008444823e+46,932.35675,9.722762285584981,9.945879649160164,9.49351638062287,1.6508860033442766e+48,7.596314377422786e+46,1243.142333,9.772545498969537,9.995523022353996,9.543266649189029,2.396516097717351e+48,1.0609720142583153e+47,1864.7135,0.0,False,False
7,7,2016-01-01 23:10:00,2016-01-02 00:10:00,2016-01-02 01:20:00,M2.4,2473,SSW,True,2016-01-02 00:11:00.728,2016-01-01 23:56:20.085,3.2388383e-05,2016-01-01 23:07:10,2016-01-01 23:08:10,2016-01-01 23:08:51.301,9.915412810904405,1.7392063154199564e+49,10.762034567128438,1.3855315956008328e+49,11.820847518969229,8.341129429795041e+48,9.898940676638524,10.213389309545898,9.570967978439572,6.483828106492002e+47,4.062463072831089e+46,466.178375,9.855024411642626,10.145710527438759,9.553033609887885,8.633758848204215e+47,5.066590469595552e+46,621.571167,9.74571389968507,9.990529489963183,9.493397877188302,1.2747519995359157e+48,6.462191008444823e+46,932.35675,9.722762285584981,9.945879649160164,9.49351638062287,1.6508860033442766e+48,7.596314377422786e+46,1243.142333,9.772545498969537,9.995523022353996,9.543266649189029,2.396516097717351e+48,1.0609720142583153e+47,1864.7135,0.0,False,False
8,8,2016-01-03 20:20:00,2016-01-03 20:24:00,2016-01-03 20:27:00,B4.7,2476,SSW,False,2016-01-03 20:24:17.521,2016-01-03 20:24:11.378,2.3158543e-07,2016-01-03 20:20:40,2016-01-03 20:21:40,2016-01-03 20:21:54.161,10.370982184850261,1.1738288143319282e+47,10.529103009298849,1.1146701715423402e+47,10.529103009298849,1.1146701715423402e+47,10.994672850574931,11.914687647979285,9.928146673259093,1.6149194266291358e+46,2.7894573229315962e+45,17.92,10.19599269723367,11.013662186764924,9.27831785020795,2.2730504490884578e+46,4.126722198406946e+45,23.893333,9.294403524354944,9.980985742782162,8.549309830190827,3.792443425853493e+46,6.614689883854276e+45,35.84,8.968593098114436,9.529386434059713,8.369317836527216,4.936283846697213e+46,7.260499299859606e+45,47.786667,8.801378000961806,9.273582672982526,8.302239258902608,6.705962957370038e+46,8.050189534472424e+45,71.68,0.0,False,False
9,9,2016-01-04 06:17:00,2016-01-04 06:21:00,2016-01-04 06:24:00,B4.1,0,SSW,False,2016-01-04 06:21:27.395,2016-01-04 06:21:35.588,2.3334172e-07,2016-01-04 06:18:40,2016-01-04 06:19:40,2016-01-04 06:19:47.045,7.89018650356944,1.7818448829936654e+47,8.526717458796728,1.4618317142737243e+47,8.129531530535758,1.582236198758128e+47,5.771163678234609,6.176082271757605,5.327969593112536,1.5157795647630875e+47,2.955745294193109e+46,12.54375,5.875565166664664,6.228529727288167,5.494927608081335,1.5255822631213663e+47,2.517816319409832e+46,16.725,6.065800810985302,6.434031252445674,5.669010755043668,1.5981020205219579e+47,2.650640927694912e+46,25.0875,6.197066747821226,6.555241623743454,5.8127727205226005,1.6754789857474293e+47,2.60664534190017e+46,33.45,6.297226485318031,6.587542902755809,5.990377954440403,1.830797643279684e+47,2.2523102110987592e+46,50.175,0.0,False,False
