,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Peak Time NoSub,Peak Time,Background End Time,Fancy Temp,Fancy EM,Peak Temp,Peak EM,Flare Max Temp,Flare Max EM,Temp 1/8,EM 1/8,Temp 1/6,EM 1/6,Temp 1/4,EM 1/4,Temp 1/3,EM 1/3,Temp 1/2,EM 1/2,Temp 2/3,EM 2/3,Temp 3/4,EM 3/4
0,2016-01-01 04:38:00.000,2016-01-01 04:41:00.000,2016-01-01 04:51:00.000,B6.2,850.36092,-298.99632,2473,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,2016-01-01 04:38:40,8.696748685540694,5.11551490918052e+46,8.296803160453807,2.4388055247533306e+47,9.508949838507625,2.4388055247533306e+47,9.074594364661067,2.805641301524014e+46,9.074594364661067,2.805641301524014e+46,9.074594364661067,2.805641301524014e+46,8.696748685540694,5.11551490918052e+46,8.504173996616311,7.820414136886504e+46,8.75536795708914,9.705874243913032e+46,8.75536795708914,9.705874243913032e+46
1,2016-01-01 06:33:00.000,2016-01-01 06:38:00.000,2016-01-01 06:43:00.000,C2.3,855.34758,-282.6777,2473,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,2016-01-01 06:31:50,10.767680505547306,3.1560455617769246e+47,11.600868042421112,1.147007156020448e+48,11.752414241299176,1.147007156020448e+48,13.625973742378697,7.898194252293813e+45,13.625973742378697,7.898194252293813e+45,12.832674578700505,1.2721192889763587e+46,11.26944673229698,2.6336801810970566e+46,10.709170528395058,4.567610338965381e+46,10.807509163920583,1.0340197562611549e+47,10.861914260792563,1.4580212526939286e+47
2,2016-01-01 09:36:00.000,2016-01-01 09:48:00.000,2016-01-01 09:56:00.000,C2.4,883.41276,-286.433646,2473,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,2016-01-01 09:37:50,10.028902320486637,2.9142483097179402e+47,9.84289605806543,1.4816178243645064e+48,11.209905298035238,1.4816178243645064e+48,10.09286579873721,8.184666234610536e+46,9.89587513447372,1.0833857085044103e+47,9.979219802212848,1.6869161621572908e+47,10.05631523973688,2.016056158464989e+47,10.400045319710227,3.519457289201592e+47,10.568343154625786,5.149068097842476e+47,10.593799236672268,5.524726262148503e+47
3,2016-01-01 17:30:00.000,2016-01-01 17:36:00.000,2016-01-01 17:43:00.000,B8.4,872.98962,-284.654142,2473,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,2016-01-01 17:31:50,9.236055488992553,3.04719511593363e+47,8.741062061262097,4.274994399642932e+47,9.248472235738413,4.274994399642932e+47,9.145911508626583,4.233789585162917e+46,9.309455785237144,6.132840739764868e+46,9.328621257543917,9.47070295402824e+46,9.328621257543917,9.47070295402824e+46,9.377325420344459,1.5713584027716327e+47,9.301313095197111,2.0375326657777733e+47,9.301313095197111,2.0375326657777733e+47
4,2016-01-01 20:18:00.000,2016-01-01 20:21:00.000,2016-01-01 20:23:00.000,B5.5,872.85366,-318.52686,2473,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,2016-01-01 20:19:20,9.707081638793248,4.1871777116673666e+46,8.413805146369745,1.9848554738847118e+47,8.413805146369745,1.9848554738847118e+47,11.70860063559633,2.1001217462245544e+45,11.70860063559633,2.1001217462245544e+45,11.70860063559633,2.1001217462245544e+45,11.70860063559633,2.1001217462245544e+45,9.707081638793248,4.1871777116673666e+46,9.707081638793248,4.1871777116673666e+46,9.707081638793248,4.1871777116673666e+46
5,2016-01-01 22:25:00.000,2016-01-01 22:30:00.000,2016-01-01 22:33:00.000,C2.7,870.3405,-352.009296,2473,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,2016-01-01 22:27:00,9.199387749262739,1.4534629857618826e+47,11.344793621650862,1.5489933752046986e+48,11.959678218580363,1.5489933752046986e+48,6.702705349616706,4.0092168773633133e+46,6.702705349616706,4.0092168773633133e+46,8.082371343621928,4.766686442032942e+46,8.082371343621928,4.766686442032942e+46,8.367160282714062,1.1026158864200321e+47,8.991243574571364,2.4677532758853217e+47,9.584930503373164,4.36626946096667e+47
6,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,2016-01-01 23:08:10,9.919194746653762,4.252589015449216e+47,10.481707589242722,1.5105286501794855e+49,11.814086981901022,1.5105286501794855e+49,10.140511261191593,5.274209421659279e+47,10.272968797131469,7.242837560713887e+47,10.292545191058652,1.2299706044275683e+48,10.261176826039625,1.6787372328841694e+48,10.457849033405767,2.6521469548150325e+48,10.755269900780144,3.761630022885706e+48,10.860626791725867,4.448125610549941e+48
7,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,2016-01-01 23:08:10,9.919194746653762,4.252589015449216e+47,10.481707589242722,1.5105286501794855e+49,11.814086981901022,1.5105286501794855e+49,10.140511261191593,5.274209421659279e+47,10.272968797131469,7.242837560713887e+47,10.292545191058652,1.2299706044275683e+48,10.261176826039625,1.6787372328841694e+48,10.457849033405767,2.6521469548150325e+48,10.755269900780144,3.761630022885706e+48,10.860626791725867,4.448125610549941e+48
8,2016-01-03 20:20:00.000,2016-01-03 20:24:00.000,2016-01-03 20:27:00.000,B4.7,-595.24614,-109.382712,2476,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,2016-01-03 20:21:40,9.26689652238246,6.761751471837053e+46,10.089581522265076,1.18259275406235e+47,10.089581522265076,1.2009180235917912e+47,,,9.385189104762613,4.4467487336706306e+46,9.385189104762613,4.4467487336706306e+46,9.26689652238246,6.761751471837053e+46,9.26689652238246,6.761751471837053e+46,9.223807981250816,7.995122326072081e+46,9.239481441021187,8.998636803533538e+46
9,2016-01-04 06:17:00.000,2016-01-04 06:21:00.000,2016-01-04 06:24:00.000,B4.1,-217.024158,224.278872,0,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,2016-01-04 06:19:00,8.027405707263195,1.0177925352608301e+47,8.57986237185147,1.589564419689277e+47,8.57986237185147,1.6618161586967653e+47,7.668087183513796,1.7786222313018373e+46,7.668087183513796,1.7786222313018373e+46,7.838298914427952,4.1227784138786445e+46,7.838298914427952,4.1227784138786445e+46,7.9076328660133965,7.378157645506147e+46,7.934264216241346,9.688158630871522e+46,7.934264216241346,9.688158630871522e+46
