,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Peak Time NoSub,Peak Time,Background End Time,Fancy Temp,Fancy EM,Fancy Tdelta,Peak Temp Long,Peak EM Long,Peak Temp Short,Peak EM Short,Flare Max Temp,Flare Max EM,Temp 1/8,EM 1/8,Tdelta 1/8,Temp 1/6,EM 1/6,Tdelta 1/6,Temp 1/4,EM 1/4,Tdelta 1/4,Temp 1/3,EM 1/3,Tdelta 1/3,Temp 1/2,EM 1/2,Tdelta 1/2,Temp 2/3,EM 2/3,Tdelta 2/3,Temp 3/4,EM 3/4,Tdelta 3/4
10,2016-01-06 00:14:00.000,2016-01-06 00:25:00.000,2016-01-06 00:37:00.000,B4.4,-167.550528,-111.486858,2476,2016-01-06 00:28:51.145,2016-01-06 00:28:51.145,2016-01-06 00:28:51.145,2016-01-06 00:16:20,nan,nan,68.0,8.082408983610467,1.3730743708066072e+47,10.691531417168772,8.240201145578495e+46,61.08864535209823,1.3730743708066072e+47,,,93.893125,12.211026288524423,2.5813754517493912e+45,125.190833,17.15008122940277,3.1893524366692306e+45,187.78625,17.553801581590584,4.015677572956012e+45,250.381667,15.048513370268768,7.530179011826683e+45,375.5725,11.750113592960682,2.0771246531314432e+46,500.763333,11.03584511099607,2.902653786401406e+46,563.35875
11,2016-01-06 06:13:00.000,2016-01-06 06:16:00.000,2016-01-06 06:20:00.000,B5.6,-169.718208,127.765752,2478,2016-01-06 06:16:23.938,2016-01-06 06:16:23.938,2016-01-06 06:16:23.938,2016-01-06 06:14:00,9.738348060542847,3.7555671283755036e+46,58.0,9.804771105211849,2.839658409688678e+47,10.416763249778056,2.5880750937250764e+47,10.736645249836792,2.839658409688678e+47,10.18083870024262,7.533796341855646e+45,17.99225,11.783921409796049,8.52115629596222e+45,23.989667,10.746707019444436,1.587690351158969e+46,35.9845,10.027205788149372,2.555007973361694e+46,47.979333,9.614769637945532,4.596523980943453e+46,71.969,9.73699167996905,6.659867496116244e+46,95.958667,9.94027172369866,7.673023662252678e+46,107.9535
12,2016-01-06 09:20:00.000,2016-01-06 09:25:00.000,2016-01-06 09:28:00.000,B8.2,-856.50726,147.17112,0,2016-01-06 09:25:27.751,2016-01-06 09:25:27.751,2016-01-06 09:25:27.751,2016-01-06 09:23:00,10.853690063827123,1.8060765145435755e+47,58.0,10.599738934568354,3.4972361835923773e+47,11.129392033272266,3.2506564291542403e+47,11.492061534082529,3.4972361835923773e+47,8.514571668556899,3.5308683975797457e+46,18.468875,10.144399640308182,5.128433942058581e+46,24.625167,11.211910904678271,1.0009201176394832e+47,36.93775,11.047864047401355,1.4515063437935645e+47,49.250333,10.734051370462662,1.935044664756215e+47,73.8755,10.670388472781307,2.114039193318511e+47,98.50066699999999,10.6716107291266,2.171867723074786e+47,110.81325
13,2016-01-06 11:31:00.000,2016-01-06 11:37:00.000,2016-01-06 11:39:00.000,C1.8,-963.32982,43.49961,0,2016-01-06 11:37:19.115,2016-01-06 11:37:19.115,2016-01-06 11:37:19.115,2016-01-06 11:32:30,10.854179226637406,1.3267629336754272e+47,140.0,12.240996752939676,1.0516542058010048e+48,14.194699796976552,8.542239690750726e+47,14.652266252848232,1.0516542058010048e+48,11.56438440791804,2.9180038506328513e+46,36.139375,11.492184832835939,3.690122539041587e+46,48.185833,11.27292195890532,4.920675769321911e+46,72.27875,11.021200315716737,5.884096683523779e+46,96.371667,10.746042139033024,9.453412097260493e+46,144.5575,10.781178733872634,1.0257205854815036e+47,192.743333,10.85632307066968,1.0284406505591154e+47,216.83625
14,2016-01-06 11:31:00.000,2016-01-06 11:37:00.000,2016-01-06 11:39:00.000,C1.8,789.14988,-387.148638,0,2016-01-06 11:37:19.115,2016-01-06 11:37:19.115,2016-01-06 11:37:19.115,2016-01-06 11:32:30,10.854179226637406,1.3267629336754272e+47,140.0,12.240996752939676,1.0516542058010048e+48,14.194699796976552,8.542239690750726e+47,14.652266252848232,1.0516542058010048e+48,11.56438440791804,2.9180038506328513e+46,36.139375,11.492184832835939,3.690122539041587e+46,48.185833,11.27292195890532,4.920675769321911e+46,72.27875,11.021200315716737,5.884096683523779e+46,96.371667,10.746042139033024,9.453412097260493e+46,144.5575,10.781178733872634,1.0257205854815036e+47,192.743333,10.85632307066968,1.0284406505591154e+47,216.83625
15,2016-01-06 12:35:00.000,2016-01-06 13:41:00.000,2016-01-06 14:16:00.000,B6.6,601.6038,-240.854208,0,2016-01-06 13:40:50.758,2016-01-06 13:40:50.758,2016-01-06 13:40:50.758,2016-01-06 13:40:40,9.426601330024482,8.272622241796887e+45,6.758,9.35380944698489,1.1101992640635593e+46,,,9.35380944698489,1.1101992640635593e+46,3.3835915884755545,1.3749467703379927e+47,1.34475,3.3835915884755545,1.3749467703379927e+47,1.7930000000000001,3.3835915884755545,1.3749467703379927e+47,2.6895,3.3835915884755545,1.3749467703379927e+47,3.586,6.92244069115985,1.3833118949133467e+46,5.379,7.982481506927466,1.0752254941456879e+46,7.172,7.982481506927466,1.0752254941456879e+46,8.0685
16,2016-01-06 19:25:00.000,2016-01-06 19:30:00.000,2016-01-06 19:34:00.000,B6.8,-922.44804,218.145876,2480,2016-01-06 19:30:16.028,2016-01-06 19:30:16.028,2016-01-06 19:30:16.028,2016-01-06 19:26:20,10.41547548491703,1.1256618834887596e+47,198.0,9.87120963454989,2.4536799026799134e+47,10.223634526820382,2.324677973399344e+47,10.223634526820382,2.4536799026799134e+47,8.963797322708839,2.973970607401607e+46,29.5035,10.046987943964233,3.022270101938111e+46,39.338,10.621963612316302,4.024312941486501e+46,59.007,10.539064163560802,5.072973754250487e+46,78.676,10.550049579902264,6.435408682300108e+46,118.014,10.538491489285432,8.729728237303147e+46,157.352,10.476371708760384,9.907411957154083e+46,177.021
17,2016-01-06 21:46:00.000,2016-01-06 22:00:00.000,2016-01-06 22:14:00.000,B7.0,-884.78676,257.269962,2480,2016-01-06 21:59:23.755,2016-01-06 21:59:23.755,2016-01-06 21:59:23.755,2016-01-06 21:46:20,9.509166241593581,1.3781322040763974e+47,110.0,7.268656604377163,4.7281981948806684e+47,8.513519313888821,3.2350519298764202e+47,9.581282318006481,5.140146968902166e+47,8.421903950139008,3.448284370596876e+46,97.969375,8.7767353530137,4.56808180631422e+46,130.625833,9.174011132355123,6.812621649963823e+46,195.93875,9.279549385727403,8.895335446468756e+46,261.251667,8.733982396589333,1.338661496403517e+47,391.8775,8.2794699127718,1.8088942001085905e+47,522.503333,8.212173561156968,1.985270874233319e+47,587.81625
18,2016-01-06 23:00:00.000,2016-01-06 23:09:00.000,2016-01-06 23:23:00.000,B5.8,-957.5655,45.7669632,2480,2016-01-06 23:09:34.458,2016-01-06 23:09:34.458,2016-01-06 23:09:34.458,2016-01-06 23:01:00,8.70474907987046,1.6557797980078259e+47,140.0,7.853753934982939,2.4761230351654604e+47,9.811792064217288,1.6898531329387407e+47,9.811792064217288,2.541455818736244e+47,11.114975670598938,1.1053368789096198e+46,64.30725,11.399960845539212,1.3212450935887875e+46,85.743,11.82073434324774,1.799648107836082e+46,128.6145,10.430746504795849,2.5607328671857184e+46,171.486,9.268184320587586,3.9938281804289896e+46,257.229,9.020574863519732,5.685871879682567e+46,342.972,9.03548995372961,6.716890745776233e+46,385.8435
19,2016-01-07 01:45:00.000,2016-01-07 01:48:00.000,2016-01-07 01:51:00.000,B6.0,-947.17656,31.9910178,2480,2016-01-07 01:48:19.751,2016-01-07 01:48:19.751,2016-01-07 01:48:19.751,2016-01-07 01:46:10,8.650794510497834,3.4754090203827986e+46,58.0,9.937868983748228,2.15389022813022e+47,10.377088057971859,1.9995727446101958e+47,11.003107285537663,2.15389022813022e+47,10.36052046710543,4.09996617028723e+45,16.218875,9.490634922313342,6.800160715347235e+45,21.625167,8.852360744843871,1.1931955172160072e+46,32.43775,8.421993074364805,1.9326220805229182e+46,43.250333,8.907446514393653,4.035863068726568e+46,64.8755,9.780568626800235,6.247131618315521e+46,86.50066699999999,10.041142748488769,7.466654039623482e+46,97.31325
