,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Peak Time NoSub,Peak Time,Background End Time,Fancy Temp,Fancy EM,Fancy Tdelta,Peak Temp Long,Peak EM Long,Peak Temp Short,Peak EM Short,Flare Max Temp,Flare Max EM,Temp 1/8,EM 1/8,Tdelta 1/8,Temp 1/6,EM 1/6,Tdelta 1/6,Temp 1/4,EM 1/4,Tdelta 1/4,Temp 1/3,EM 1/3,Tdelta 1/3,Temp 1/2,EM 1/2,Tdelta 1/2,Temp 2/3,EM 2/3,Tdelta 2/3,Temp 3/4,EM 3/4,Tdelta 3/4
0,2016-01-01 04:38:00.000,2016-01-01 04:41:00.000,2016-01-01 04:51:00.000,B6.2,850.36092,-298.99632,2473,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,2016-01-01 04:38:40,9.256781198864333,1.747589497841743e+46,44.6445,8.595232591877247,2.356992974658229e+47,9.730964777911232,1.5902613476697414e+47,9.79817378265115,2.4222512436119768e+47,,,0.0,7.888430257787181,2.2207557201934318e+46,7.524083,9.371746614136267,2.4218239604897357e+46,22.57225,8.853144458126472,3.6607633143459456e+46,37.620417,8.351762786129154,6.114112246168111e+46,67.71675,8.590475212213107,8.46115704692445e+46,97.813083,8.819016314679574,9.298443033501499e+46,112.86125
1,2016-01-01 06:33:00.000,2016-01-01 06:38:00.000,2016-01-01 06:43:00.000,C2.3,855.34758,-282.6777,2473,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,2016-01-01 06:31:50,10.911408127208404,2.086488107483976e+47,110.0,11.391542469681896,1.1994876113411221e+48,11.683413946074484,1.1412642151291352e+48,11.837147837640057,1.1994876113411221e+48,,,0.0,12.693461451439754,1.0288499031564779e+46,16.532708,11.390003382832802,1.75699777449707e+46,49.598125,10.725714682683424,2.5755495358405684e+46,82.663542,9.572855517592835,4.121923398269103e+46,148.794375,10.551821831184327,9.620792578603988e+46,214.925208,10.93159477659924,1.429938706705034e+47,247.990625
2,2016-01-01 09:36:00.000,2016-01-01 09:48:00.000,2016-01-01 09:56:00.000,C2.4,883.41276,-286.433646,2473,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,2016-01-01 09:37:50,9.926410873024654,2.4516501261844004e+47,100.0,9.909774662601468,1.4742008040284527e+48,11.06861189962886,1.1841716832286194e+48,11.281467971142147,1.4742008040284527e+48,,,0.0,8.786378189917482,1.561642211978915e+47,26.922,9.595777712719482,2.038914115659943e+47,80.766,10.055588114715018,2.6325143270612976e+47,134.61,10.6867902924257,4.029397249426967e+47,242.298,10.888148367640778,5.559506473012039e+47,349.986,10.904176010014618,6.277446930327593e+47,403.83
3,2016-01-01 17:30:00.000,2016-01-01 17:36:00.000,2016-01-01 17:43:00.000,B8.4,872.98962,-284.654142,2473,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,2016-01-01 17:31:50,9.279195233262168,2.923476521241832e+47,90.0,8.783448040211733,4.282474622371606e+47,9.400189929524856,3.5464883462195214e+47,9.400189929524856,4.282474622371606e+47,,,0.0,8.799480823917868,6.611520853651137e+46,12.003958,9.42644057993114,8.00605446949805e+46,36.011875,9.39340871645529,1.1176119222095997e+47,60.019792,9.402061371903523,1.6625256281673663e+47,108.035625,9.368270212875418,2.070240651745012e+47,156.051458,9.292461857205149,2.229309142593154e+47,180.059375
4,2016-01-01 20:18:00.000,2016-01-01 20:21:00.000,2016-01-01 20:23:00.000,B5.5,872.85366,-318.52686,2473,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,2016-01-01 20:19:20,18.77369556995696,5.658078302041119e+44,22.25275,8.427465415773849,2.1559812394924836e+47,9.160517826626025,1.6914456199951774e+47,44.80473010438144,3.861508308448766e+47,,,0.0,,,3.792125,,,11.376375,31.040623533467215,4.0957029028619184e+44,18.960625,9.790565978111422,4.226349962078117e+45,34.129125,7.610309680914836,2.626401586319989e+46,49.297625,7.8787153157480905,3.6725943109140414e+46,56.881875
5,2016-01-01 22:25:00.000,2016-01-01 22:30:00.000,2016-01-01 22:33:00.000,C2.7,870.3405,-352.009296,2473,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,2016-01-01 22:27:00,8.064756219305048,3.610917027818234e+46,42.107,11.1672027473955,1.6008995143532097e+48,11.779350050341687,1.4528968711655215e+48,12.065018138679113,1.6008995143532097e+48,,,0.0,8.65662819905088,3.141859385691933e+46,7.101167,8.739769400461594,3.8302378555832463e+46,21.3035,9.349725188905675,4.508945968883246e+46,35.505833,8.887732766296937,1.1444420018744534e+47,63.9105,10.111827274610002,2.4988277251782964e+47,92.315167,10.83758819081053,3.389523528420371e+47,106.5175
6,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,2016-01-01 23:08:10,9.921958100092892,3.971658824863591e+47,150.0,9.915412810904405,1.7392063154199564e+49,10.762034567128438,1.3855315956008328e+49,11.820847518969229,1.7392063154199564e+49,,,0.0,10.568578797444772,1.701608306431744e+48,157.113667,10.27357427033492,2.3322757255014564e+48,471.341,10.343397426194052,2.882138659575878e+48,785.568333,11.023253807485721,4.0973714339193266e+48,1414.023,11.347909714605745,5.754058051938648e+48,2042.477667,11.27368599811798,6.64900133577034e+48,2356.705
7,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,2016-01-01 23:08:10,9.921958100092892,3.971658824863591e+47,150.0,9.915412810904405,1.7392063154199564e+49,10.762034567128438,1.3855315956008328e+49,11.820847518969229,1.7392063154199564e+49,,,0.0,10.568578797444772,1.701608306431744e+48,157.113667,10.27357427033492,2.3322757255014564e+48,471.341,10.343397426194052,2.882138659575878e+48,785.568333,11.023253807485721,4.0973714339193266e+48,1414.023,11.347909714605745,5.754058051938648e+48,2042.477667,11.27368599811798,6.64900133577034e+48,2356.705
8,2016-01-03 20:20:00.000,2016-01-03 20:24:00.000,2016-01-03 20:27:00.000,B4.7,-595.24614,-109.382712,2476,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,2016-01-03 20:21:40,9.332027422557557,4.798567576708776e+46,68.0,10.422926360234536,1.1665708174883346e+47,10.581678580043048,1.107923866857815e+47,10.581678580043048,1.4519109642408097e+47,,,0.0,13.420878080263874,1.2528209360770003e+46,6.563375,9.986826169008312,3.04958367509568e+46,19.690125,9.34155237169788,4.656504128095844e+46,32.816875,9.159516284350797,6.706664461862289e+46,59.070375,9.215525069417644,7.770139400720577e+46,85.323875,9.116616585050764,8.314719031147544e+46,98.450625
9,2016-01-04 06:17:00.000,2016-01-04 06:21:00.000,2016-01-04 06:24:00.000,B4.1,-217.024158,224.278872,0,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,2016-01-04 06:19:00,7.7844836812972,2.1644669021960274e+46,36.34875,8.596223978755088,1.6726396141164071e+47,9.178540658118196,1.423289620764649e+47,8.867207750192112,1.880043184965304e+47,,,0.0,6.513835009149968,3.6221188029907384e+46,6.141458,7.03958052444543,3.6197763574526887e+46,18.424375,7.506997400887086,4.692915801476581e+46,30.707292,7.979934379097957,7.400593826174886e+46,55.273125,7.94296758743776,1.004331582150751e+47,79.838958,7.957221197180179,1.0887626005455423e+47,92.121875
