,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Background End Time,Mean Onset Temp,Flare Peak Temp,Peak Time NoSub,Peak Time,Fancy Temp,Fancy EM,Peak Temp,Peak EM,Mean Onset 1/8,Mean Onset 1/6,Mean Onset 1/4,Mean Onset 1/3,Mean Onset 1/2,Mean Onset 2/3,Mean Onset 3/4,Flare Max Temp,Flare Max EM,Fancy Onset,Flare Peak EM
14,2016-01-06 11:31:00.000,2016-01-06 11:37:00.000,2016-01-06 11:39:00.000,C1.8,789.14988,-387.148638,0,2016-01-06 11:37:19.115,2016-01-06 11:32:30,,,2016-01-06 11:37:19.115,2016-01-06 11:37:19.115,10.89254146342347,1.3354657497915595e+47,12.240996752939676,1.0516542058010048e+48,"(10.897613906139892, 3.0787649148219997e+46)","(11.021401035549843, 3.8246577550299805e+46)","(11.01816533029776, 5.034058715627719e+46)","(10.89671805934412, 5.995467251339072e+46)","(10.770720873336508, 9.547355434186539e+46)","(10.798480277990459, 1.0354519423191394e+47)","(10.862753042683824, 1.038238745006058e+47)",,,,
15,2016-01-06 12:35:00.000,2016-01-06 13:41:00.000,2016-01-06 14:16:00.000,B6.6,601.6038,-240.854208,0,2016-01-06 13:40:50.758,2016-01-06 13:40:40,,,2016-01-06 13:40:50.758,2016-01-06 13:40:50.758,8.96077626472649,3.9532143595331775e+46,9.35380944698489,1.1101992640635593e+46,"(3.3835915884755545, 1.3749467703379927e+47)","(3.3835915884755545, 1.3749467703379927e+47)","(3.3835915884755545, 1.3749467703379927e+47)","(3.3835915884755545, 1.3749467703379927e+47)","(6.172639472787595, 9.335606698061717e+46)","(7.218076883218038, 7.196143154462223e+46)","(7.218076883218038, 7.196143154462223e+46)",,,,
16,2016-01-06 19:25:00.000,2016-01-06 19:30:00.000,2016-01-06 19:34:00.000,B6.8,-922.44804,218.145876,2480,2016-01-06 19:30:16.028,2016-01-06 19:26:20,,,2016-01-06 19:30:16.028,2016-01-06 19:30:16.028,10.297565880278977,1.1389267839594833e+47,9.87120963454989,2.4536799026799134e+47,"(8.885717034330964, 3.3107679025049786e+46)","(9.496518678850375, 3.4624569517810105e+46)","(10.04527791618515, 4.357837430144915e+46)","(10.137551229280866, 5.331296922076101e+46)","(10.240356216652328, 6.638320311070148e+46)","(10.314990267911247, 8.886311943427345e+46)","(10.307851366517506, 1.0050650264304825e+47)",,,,
17,2016-01-06 21:46:00.000,2016-01-06 22:00:00.000,2016-01-06 22:14:00.000,B7.0,-884.78676,257.269962,2480,2016-01-06 21:59:23.755,2016-01-06 21:46:20,,,2016-01-06 21:59:23.755,2016-01-06 21:59:23.755,9.508462335433752,1.3856140785273992e+47,7.268656604377163,4.7281981948806684e+47,"(9.015878278850916, 3.9329388174633764e+46)","(9.062823177397942, 5.160528591572119e+46)","(9.17448894238221, 7.462843422056147e+46)","(9.23818498448954, 9.51299366785517e+46)","(8.875009620758009, 1.4264866053509558e+47)","(8.528336216284137, 1.9326409233044725e+47)","(8.455576821621658, 2.1037511705141682e+47)",,,,
18,2016-01-06 23:00:00.000,2016-01-06 23:09:00.000,2016-01-06 23:23:00.000,B5.8,-957.5655,45.7669632,2480,2016-01-06 23:09:34.458,2016-01-06 23:01:00.000,,,2016-01-06 23:09:34.458,2016-01-06 23:09:34.458,8.692158933272678,1.672944503035598e+47,7.853753934982939,2.4761230351654604e+47,"(11.893258281209402, 1.7643535592635787e+46)","(11.840370099466512, 1.841705592508056e+46)","(11.956107581026425, 2.1617477824207258e+46)","(10.813258451000845, 4.828776915366772e+46)","(9.800532192747372, 6.024429447824404e+46)","(9.5346923955887, 7.281571710757407e+46)","(9.480737175515202, 8.150673267640367e+46)",,,,
19,2016-01-07 01:45:00.000,2016-01-07 01:48:00.000,2016-01-07 01:51:00.000,B6.0,-947.17656,31.9910178,2480,2016-01-07 01:48:19.751,2016-01-07 01:46:10,,,2016-01-07 01:48:19.751,2016-01-07 01:48:19.751,9.426586817928492,3.7972634383543466e+46,9.937868983748228,2.15389022813022e+47,"(12.896831364239214, 4.942783030881505e+45)","(11.415913175812111, 8.929206289018202e+45)","(10.308435707948851, 1.5039540312653342e+46)","(9.697676485575476, 2.339322612084095e+46)","(9.440965982732843, 4.4977401468557897e+46)","(9.670839874221953, 6.835392197982235e+46)","(9.795618485368637, 8.071941547525269e+46)",,,,
20,2016-01-07 01:45:00.000,2016-01-07 01:48:00.000,2016-01-07 01:51:00.000,B6.0,560.235072,-254.683464,0,2016-01-07 01:48:19.751,2016-01-07 01:46:10,,,2016-01-07 01:48:19.751,2016-01-07 01:48:19.751,9.426586817928492,3.7972634383543466e+46,9.937868983748228,2.15389022813022e+47,"(12.896831364239214, 4.942783030881505e+45)","(11.415913175812111, 8.929206289018202e+45)","(10.308435707948851, 1.5039540312653342e+46)","(9.697676485575476, 2.339322612084095e+46)","(9.440965982732843, 4.4977401468557897e+46)","(9.670839874221953, 6.835392197982235e+46)","(9.795618485368637, 8.071941547525269e+46)",,,,
21,2016-01-07 02:39:00.000,2016-01-07 02:42:00.000,2016-01-07 02:44:00.000,B7.0,-950.63682,47.9447946,2480,2016-01-07 02:42:11.511,2016-01-07 02:39:40,,,2016-01-07 02:42:11.511,2016-01-07 02:42:11.511,9.645681126759234,4.226468964823765e+46,10.517742027172753,3.0965782518141484e+47,"(6.463743414999242, nan)","(6.2143984419802205, nan)","(8.935645251456414, 1.4896606289137176e+45)","(9.640970760868042, 1.5546192308574516e+46)","(9.970153710967262, 8.169040129189127e+46)","(10.183167597501802, 1.3104967460837364e+47)","(10.292005524131657, 1.4817714129325107e+47)",,,,
22,2016-01-07 03:48:00.000,2016-01-07 03:52:00.000,2016-01-07 03:59:00.000,B8.1,-946.7367,49.022328,2480,2016-01-07 03:52:09.925,2016-01-07 03:49:40,,,2016-01-07 03:52:09.925,2016-01-07 03:52:09.925,13.148438213832371,1.2713743586063465e+46,10.221779261544384,2.491347930750059e+47,"(17.245396044187533, 4.802241092894822e+45)","(15.368342296642977, 6.271886411350579e+45)","(14.088930879209403, 8.123262666693199e+45)","(13.495190246781961, 1.0051254681479561e+46)","(12.485898517645117, 2.1047284286427313e+46)","(12.066599261906937, 4.341914990440751e+46)","(11.955900163889943, 5.805940933278177e+46)",,,,
23,2016-01-07 06:11:00.000,2016-01-07 06:17:00.000,2016-01-07 06:23:00.000,C1.0,-933.8856,18.2206416,2480,2016-01-07 06:17:20.075,2016-01-07 06:12:00.000,,,2016-01-07 06:17:20.075,2016-01-07 06:17:20.075,9.557309517815902,2.1171692709236857e+47,9.34419176921124,5.8087841311402444e+47,"(24.55905083677763, 2.6069584042502733e+45)","(20.91349478436498, 4.382107560054118e+45)","(20.91349478436498, 4.382107560054118e+45)","(19.784524292551527, 6.824331873226425e+45)","(13.07858779201439, 8.095294605045042e+46)","(11.642996603077844, 1.9221484467987474e+47)","(11.35703722554015, 2.4133792997927665e+47)",,,,
