,Unnamed: 0.1,Unnamed: 0,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,hgc_x,hgc_y,ar_noaanum,Proximity Flag,Actual Peak Time,Peak Time NoSub,Peak Time,Peak Flux,Background End Time,Fancy Temp,Fancy Temp Nosub,Fancy EM,Fancy EM Nosub,Fancy Tdelta,Peak Temp Long,Peak EM Long,Peak Temp Short,Peak EM Short,Flare Max Temp,Flare Max EM,Temp 1/8,EM 1/8,Tdelta 1/8,Temp 1/6,EM 1/6,Tdelta 1/6,Temp 1/4,EM 1/4,Tdelta 1/4,Temp 1/3,EM 1/3,Tdelta 1/3,Temp 1/2,EM 1/2,Tdelta 1/2,Temp 2/3,EM 2/3,Tdelta 2/3,Temp 3/4,EM 3/4,Tdelta 3/4,Background Flag,Onset Flag
3569,3569,3677,2012-03-08 19:58:00.000,2012-03-08 20:22:00.000,2012-03-08 20:33:00.000,C1.7,241.394634,-151.742118,-40.51221,-16.0,1428.0,False,2012-03-08 20:04:17.585,2012-03-08 20:04:17.585,2012-03-08 20:04:17.585,0.0022628705,2012-03-08 20:00:30,4.219933687757119,11.620033458743428,,1.837332306923629e+47,56.39625,18.881261968086807,7.115638467151752e+50,18.885845345242423,7.111583573323717e+50,30.838370647269944,7.115638467151752e+50,,,0.0,3.917573055383925,,9.482708,4.633289100487681,,28.448125,4.831033581752565,,47.413542,4.842398552345047,,85.344375,5.967728816438155,3.118037813967493e+47,123.275208,9.014344187931828,1.5788273379427743e+48,142.240625,0.0,1.0
4098,4098,4209,2012-05-24 19:57:00.000,2012-05-24 20:09:00.000,2012-05-24 20:14:00.000,C3.9,-918.62736,-228.580908,-81.252537,-14.0,1490.0,True,2012-05-24 20:04:16.675000,2012-05-24 20:04:16.675000,2012-05-24 20:04:16.675000,0.002263127,2012-05-24 19:55:30,3.3028355651849006,6.302996712926443,,3.719058010534962e+47,80.0,18.885304777586747,7.1155403258459555e+50,18.885304777586747,7.1155403258459555e+50,28.130937132543654,7.1155403258459555e+50,,,0.0,8.3252805324221,1.1784348474484594e+47,21.944792,8.576608988839757,1.4586450244671915e+47,65.834375,8.550204753276164,1.8008350409390786e+47,109.723958,8.432054008667958,2.2885883408022172e+47,197.503125,8.256751871270241,2.199786149302081e+47,285.282292,7.702678062175441,2.199786149302081e+47,329.171875,0.0,0.0
4267,4267,4379,2012-06-28 19:38:00.000,2012-06-28 19:42:00.000,2012-06-28 20:16:00.000,C1.7,-650.23878,295.14432,-142.31335,20.0,1513.0,False,2012-06-28 20:04:19.698000,2012-06-28 20:04:19.698000,2012-06-28 20:04:19.698000,0.0022606205,2012-06-28 19:58:50,6.741462961196416,,,,90.0,18.895646849143315,7.1053501577620575e+50,18.895646849143315,7.1053501577620575e+50,24.15529873040069,7.1053501577620575e+50,,,0.0,10.533630348663165,,13.737417,9.176824332955388,,41.21225,8.494186707339232,,68.687083,7.569693798179177,,123.63675,7.389958527035673,,178.586417,7.269419048033312,,206.06125,0.0,0.0
4469,4469,4581,2012-07-26 19:46:00.000,2012-07-26 19:53:00.000,2012-07-26 20:09:00.000,C1.3,-886.18956,-325.929492,167.0884,-20.0,1532.0,False,2012-07-26 20:04:26.885000,2012-07-26 20:04:26.885000,2012-07-26 20:04:26.885000,0.0022631597,2012-07-26 19:44:50,8.435319555953155,5.84461319930859,1.0235199805887494e+47,1.4666794367245727e+48,70.0,18.885190926521364,7.1156690064598824e+50,18.885190926521364,7.1156690064598824e+50,27.049978142694336,7.1156690064598824e+50,,,0.0,8.50137039712833,1.5367503658252544e+47,49.036875,9.615001760477355,2.326440623270052e+47,147.110625,10.108583126710773,3.142165748210805e+47,245.184375,9.974546267256663,4.4015731772584565e+47,441.331875,9.596563078410924,5.152574216958753e+47,637.479375,9.394911586576663,5.3987898124809895e+47,735.553125,0.0,0.0
4960,4960,5072,2013-01-10 19:45:00.000,2013-01-10 19:55:00.000,2013-01-10 20:18:00.000,C3.7,-715.79232,215.809926,149.65966,10.0,1654.0,False,2013-01-10 20:04:26.341000,2013-01-10 20:04:26.341000,2013-01-10 20:04:26.341000,0.0022609055,2013-01-10 19:44:40,11.904889025686176,7.187231616867361,2.2690525546391387e+47,2.426001675750745e+48,110.0,18.886657142529025,7.1082537297947625e+50,18.886657142529025,7.1082537297947625e+50,33.45623807276874,7.1082537297947625e+50,,,0.0,11.70480581938364,4.07897541609942e+47,49.430875,11.707534975931772,5.916554359688497e+47,148.292625,11.827704552302697,7.593414835685523e+47,247.154375,11.613252010057048,1.02591595191333e+48,444.877875,11.255568670488667,1.1976023259227489e+48,642.601375,11.055133763851526,1.2596110029295525e+48,741.463125,0.0,0.0
5807,5807,5922,2013-05-13 15:48:00.000,2013-05-13 16:05:00.000,2013-05-13 16:16:00.000,X2.8,-939.6078,132.720498,-71.00794,8.0,1748.0,False,2013-05-13 16:05:37.241000,2013-05-13 16:05:37.241000,2013-05-13 16:05:37.241000,0.00040981887,2013-05-13 15:47:40,17.57872160464159,15.190583104718453,2.5812099139829586e+48,4.241515323289235e+48,448.0,17.772469400120155,1.3352360695552047e+50,18.131813267478066,1.290270542189485e+50,18.94463627157587,1.3352360695552047e+50,,,0.0,15.592425221568336,4.229181694888611e+47,44.885042,15.9145761335806,8.168545431923916e+47,134.655125,16.223174714692718,1.818568730217636e+48,224.425208,17.059973238611995,6.028474194679841e+48,403.965375,17.00321971687024,1.2145875956930195e+49,583.505542,17.088899438664246,1.7064899708174219e+49,673.275625,0.0,0.0
5810,5810,5925,2013-05-14 00:00:00.000,2013-05-14 01:11:00.000,2013-05-14 01:20:00.000,X3.2,-916.46478,142.287882,-63.526442,8.0,1748.0,False,2013-05-14 01:11:49.085000,2013-05-14 01:11:49.085000,2013-05-14 01:11:49.085000,0.00046415554,2013-05-14 00:01:20,13.276374205267697,10.221725552569035,5.4426682506921765e+47,1.5170144908962253e+48,148.0,16.13737977304334,1.599961481013783e+50,17.51427316662901,1.3898546238629183e+50,18.99839882827177,1.599961481013783e+50,,,0.0,12.790277480133849,1.5229314833877114e+48,176.211875,12.495663243212665,1.8343658930763558e+48,528.635625,12.240161012200462,1.9672331699993013e+48,881.059375,11.88082582399457,1.913529142737307e+48,1585.906875,11.615306912519529,2.050203982836698e+48,2290.754375,11.372192313661412,2.09508739890826e+48,2643.178125,0.0,0.0
7210,7210,7368,2014-06-10 11:36:00.000,2014-06-10 11:42:00.000,2014-06-10 11:44:00.000,X2.2,-882.738,-308.8284,151.28153,-19.0,2087.0,False,2014-06-10 11:42:02.438,2014-06-10 11:42:02.438,2014-06-10 11:42:02.438,0.00032644966,2014-06-10 11:36:20,11.169694515761496,5.096085049057379,2.4143508654038303e+46,4.041716430108209e+48,85.1095,19.557889130176115,1.0050674613600287e+50,20.34285744472318,9.65154015208601e+49,22.1255971042,1.0050674613600287e+50,,,0.0,10.38450188192565,2.7481468549037165e+46,14.26825,11.026662261933682,3.5369911605296546e+46,42.80475,11.439800686504096,4.813830476691843e+46,71.34125,11.793995459927554,8.717896922318344e+46,128.41425,12.611464046427724,1.0614152306971297e+48,185.48725,13.719243027304564,5.231221907315017e+48,214.02375,0.0,1.0
7240,7240,7398,2014-06-12 19:56:00.000,2014-06-12 20:03:00.000,2014-06-12 20:05:00.000,M1.1,-78.6222,281.616,-163.78654,18.0,2089.0,False,2014-06-12 20:04:29.655,2014-06-12 20:04:29.655,2014-06-12 20:04:29.655,0.0022615024,2014-06-12 19:54:50,12.885585404673105,5.639090707415598,8.069445660479974e+46,4.2945802184125055e+48,110.0,18.89019619527918,7.109339851904888e+50,18.89478756013609,7.105285872133301e+50,46.71563377944182,7.109339851904888e+50,,,0.0,27.69685356144352,5.887031838247709e+45,24.152292,16.049795493940085,5.246872518089709e+46,72.456875,13.93954765325224,1.2948562812550947e+47,120.761458,12.32105986473677,3.230062533059601e+47,217.370625,12.631247655433068,3.7021532910781705e+47,313.979792,11.41981882944066,3.7021532910781705e+47,362.284375,0.0,0.0
7297,7297,7455,2014-06-19 18:45:00.000,2014-06-19 19:24:00.000,2014-06-19 20:27:00.000,C4.0,-365.7378,-171.6216,86.20949,-9.0,2093.0,False,2014-06-19 20:04:25.038,2014-06-19 20:04:25.038,2014-06-19 20:04:25.038,0.0022629977,2014-06-19 18:55:00,10.539649944439692,6.834846266593773,1.591131271617451e+47,1.3244631299522135e+48,80.0,18.883307362154422,7.1155807376704955e+50,18.887891083774075,7.111526749717728e+50,33.09387111287629,7.1155807376704955e+50,,,0.0,10.610548905793683,5.2455271629515145e+47,173.54325,10.782281552542978,8.611738214292284e+47,520.62975,10.700949863473143,1.255282809771349e+48,867.71625,10.181085628749631,1.852381359543992e+48,1561.88925,9.621565605070934,2.0446091012907173e+48,2256.06225,9.356809810369995,2.047760420841603e+48,2603.14875,0.0,0.0
7866,7866,8030,2014-09-25 19:07:00.000,2014-09-25 20:11:00.000,2014-09-25 20:30:00.000,C3.2,-269.8542,-369.4296,-123.6302,-16.0,2172.0,False,2014-09-25 20:04:32.491,2014-09-25 20:04:32.491,2014-09-25 20:04:32.491,0.0022623313,2014-09-25 19:19:30,9.805181052591085,5.858742625518555,1.4859490950819212e+47,2.7851204826128752e+48,90.0,18.88673212160754,7.112719835584484e+50,18.891319197918087,7.1086659160711566e+50,26.74659032243944,7.112719835584484e+50,,,0.0,8.927339398972975,3.7886930515863485e+47,112.603792,9.175585929410254,4.686609570713543e+47,337.811375,9.27263627177785,5.5277493717906756e+47,563.018958,9.160405788833051,7.105880622260458e+47,1013.434125,9.039281736867562,8.184154539503736e+47,1463.849292,8.98354190845795,8.725914729820595e+47,1689.056875,0.0,0.0
7867,7867,8031,2014-09-25 19:12:00.000,2014-09-25 20:32:00.000,2014-09-25 21:47:00.000,C3.2,-286.603512,-353.329686,-124.67602,-15.0,2172.0,False,2014-09-25 20:04:32.491,2014-09-25 20:04:32.491,2014-09-25 20:04:32.491,0.0022623313,2014-09-25 19:19:30,9.805181052591085,5.858742625518555,1.4859490950819212e+47,2.7851204826128752e+48,90.0,18.88673212160754,7.112719835584484e+50,18.891319197918087,7.1086659160711566e+50,26.74659032243944,7.112719835584484e+50,,,0.0,8.927339398972975,3.7886930515863485e+47,112.603792,9.175585929410254,4.686609570713543e+47,337.811375,9.27263627177785,5.5277493717906756e+47,563.018958,9.160405788833051,7.105880622260458e+47,1013.434125,9.039281736867562,8.184154539503736e+47,1463.849292,8.98354190845795,8.725914729820595e+47,1689.056875,0.0,0.0
7992,7992,8163,2014-10-24 21:07:00.000,2014-10-24 21:40:00.000,2014-10-24 22:13:00.000,X3.1,321.619542,-435.40371,-109.3172,-22.0,2192.0,False,2014-10-24 21:40:29.365,2014-10-24 21:40:29.365,2014-10-24 21:40:29.365,0.00044967272,2014-10-24 21:06:20,9.959399911630015,11.578667600838912,3.3264031382873812e+47,4.159769328885266e+48,138.0,16.240365046112036,1.5442101098863183e+50,16.929631791683427,1.44128661091369e+50,19.72351682157173,1.5442101098863183e+50,,,0.0,16.188872449746604,4.836723014182614e+48,85.390208,17.386000331622984,1.5844016555208248e+49,256.170625,18.20490123253378,3.366803456369758e+49,426.951042,18.089746580784222,6.170260755326421e+49,768.511875,17.60953792661846,7.511017813168453e+49,1110.072708,17.55672692222159,8.041325696537361e+49,1280.853125,0.0,0.0
8187,8187,8364,2014-11-20 19:36:00.000,2014-11-20 19:56:00.000,2014-11-20 20:09:00.000,C2.5,132.72303,-238.53849,-117.47368,-12.0,2209.0,True,2014-11-20 20:04:06.588000,2014-11-20 20:04:06.588000,2014-11-20 20:04:06.588000,0.0022618095,2014-11-20 19:36:30,12.796858996043118,5.442088865148783,5.297426505404223e+46,2.3492194637268066e+48,130.0,18.8804151643692,7.112491417596408e+50,18.8804151643692,7.112491417596408e+50,43.61113513960888,7.112491417596408e+50,,,0.0,13.58413527321757,9.69328452949354e+46,69.0245,12.62714344959917,1.365157610822491e+47,207.0735,12.247129785903612,1.7622140530726695e+47,345.1225,11.75437340732152,2.671070811572545e+47,621.2205,11.347101640651111,4.223842620062031e+47,897.3185,11.17819896929449,5.321725678358947e+47,1035.3675,0.0,0.0
8586,8586,8786,2015-01-08 19:58:00.000,2015-01-08 20:10:00.000,2015-01-08 20:15:00.000,C1.6,-888.27,-265.4718,-123.25304,-17.0,2259.0,False,2015-01-08 20:04:17.735000,2015-01-08 20:04:17.735000,2015-01-08 20:04:17.735000,0.0022616673,2015-01-08 20:00:00,3.7136421935615713,,,,70.0,18.876627543668807,7.11289089205828e+50,18.876627543668807,7.11289089205828e+50,66.97253776681002,7.11289089205828e+50,,,0.0,5.42706525930743,,10.738958,3.69996390541422,,32.216875,3.7400342465364314,,53.694792,3.819147402279064,,96.650625,3.809970714072599,,139.606458,7.898596082755883,4.994568644727445e+47,161.084375,0.0,0.0
8717,8717,8918,2015-01-29 19:30:00.000,2015-01-29 19:53:00.000,2015-01-29 20:23:00.000,C6.4,214.37889,-124.56438,45.491665,-13.0,2268.0,False,2015-01-29 20:04:07.365000,2015-01-29 20:04:07.365000,2015-01-29 20:04:07.365000,0.0022615222,2015-01-29 19:31:40,10.172498745578851,5.561714607974538,1.2626683193256462e+47,2.870354629157462e+48,60.0,18.88193665349589,7.1112478336793265e+50,18.88193665349589,7.1112478336793265e+50,58.12180455945053,7.1112478336793265e+50,,,0.0,10.391960800981265,1.9247386101483082e+47,81.140208,11.4342044988642,7.318747715089212e+47,243.420625,11.913938201563507,1.4677900179219368e+48,405.701042,12.36469541591644,2.0559558469375147e+48,730.261875,12.334284420162652,2.3907905114977868e+48,1054.822708,12.220853191575005,2.5290159446845717e+48,1217.103125,0.0,0.0
8845,8845,9046,2015-03-11 16:11:00.000,2015-03-11 16:22:00.000,2015-03-11 16:29:00.000,X2.1,-347.3202,-173.1018,-167.65641,-17.0,2297.0,False,2015-03-11 16:21:42.385000,2015-03-11 16:21:42.385000,2015-03-11 16:21:42.385000,0.00031656626,2015-03-11 16:10:50,11.16867861902574,7.021996529805433,1.0911845873820931e+47,1.7617393355566748e+48,110.0,17.688423210944713,1.034257379328718e+50,18.29227414285482,9.80250738558392e+49,20.30968766227623,1.034257379328718e+50,,,0.0,11.170914408412962,1.130384140167647e+47,27.182708,11.123255731092424,1.5237587909450532e+47,81.548125,11.304585436831855,2.474034590702625e+47,135.913542,12.327636979925206,8.040131513652443e+47,244.644375,14.56535221585355,6.114130005121675e+48,353.375208,15.310961095182009,1.1355065802140591e+49,407.740625,0.0,0.0
9100,9100,9305,2015-04-23 19:56:00.000,2015-04-23 19:59:00.000,2015-04-23 20:05:00.000,C3.0,307.1166,-89.49,23.9679314,-10.0,2331.0,False,2015-04-23 20:04:15.871000,2015-04-23 20:04:15.871000,2015-04-23 20:04:15.871000,0.002262258,2015-04-23 19:57:10,12.976026363868618,9.648530796148302,5.48681067154029e+47,1.7206065331266692e+48,168.0,18.88786423824507,7.1122361905074375e+50,18.88786423824507,7.1122361905074375e+50,27.1133271180489,7.1122361905074375e+50,,,0.0,13.145272066470724,1.861028547954533e+47,17.744625,13.40965392089921,4.4957224472313184e+47,53.233875,13.327128396217486,6.5520378340556585e+47,88.723125,12.77136400170778,8.177462795465527e+47,159.701625,11.273969807932652,7.88683802893694e+47,230.680125,10.561427241965768,7.88683802893694e+47,266.169375,0.0,0.0
9174,9174,9381,2015-05-05 22:05:00.000,2015-05-05 22:11:00.000,2015-05-05 22:15:00.000,X2.7,-902.214,257.1174,126.20442,15.0,2339.0,True,2015-05-05 22:10:43.051000,2015-05-05 22:10:43.051000,2015-05-05 22:10:43.051000,0.0003979702,2015-05-05 22:05:00,8.663950435207623,5.077340072664142,1.2630079561811733e+46,3.5178061094822684e+48,85.26275,17.70052656164754,1.2996958452132855e+50,17.73749016185133,1.2969407731630043e+50,18.132100382660735,1.2996958452132855e+50,,,0.0,10.532120697016069,1.0152094433029036e+46,14.293792,9.611595661440022,2.5656085649369365e+46,42.881375,10.026103135659978,5.240729332121095e+46,71.468958,10.981942537103938,8.119908980722342e+47,128.644125,12.262743380436008,7.405849831980994e+48,185.819292,13.082868492108648,1.4778742924958752e+49,214.406875,0.0,1.0
