,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Background End Time,Mean Onset Temp,Flare Peak Temp,Peak Flux NoSub,Peak Flux,Fancy Onset,Mean Onset 1/8,Mean Onset 1/6,Mean Onset 1/4,Mean Onset 1/3,Mean Onset 1/2,Mean Onset 2/3,Mean Onset 3/4
18,2016-01-06 23:00:00.000,2016-01-06 23:09:00.000,2016-01-06 23:23:00.000,B5.8,-957.5655,45.7669632,2480,2016-01-06 23:09:34.458,2016-01-06 23:01:00.000,,7.853753934982939,2016-01-06 23:09:34.458,2016-01-06 23:09:34.458,8.692158933272678,11.893258281209402,11.840370099466512,11.956107581026425,10.813258451000845,9.800532192747372,9.5346923955887,9.480737175515202
19,2016-01-07 01:45:00.000,2016-01-07 01:48:00.000,2016-01-07 01:51:00.000,B6.0,-947.17656,31.9910178,2480,2016-01-07 01:48:19.751,2016-01-07 01:46:10,,9.937868983748228,2016-01-07 01:48:19.751,2016-01-07 01:48:19.751,,,,,,,,
20,2016-01-07 01:45:00.000,2016-01-07 01:48:00.000,2016-01-07 01:51:00.000,B6.0,560.235072,-254.683464,0,2016-01-07 01:48:19.751,2016-01-07 01:46:10,,9.937868983748228,2016-01-07 01:48:19.751,2016-01-07 01:48:19.751,,,,,,,,
21,2016-01-07 02:39:00.000,2016-01-07 02:42:00.000,2016-01-07 02:44:00.000,B7.0,-950.63682,47.9447946,2480,2016-01-07 02:42:11.511,2016-01-07 02:39:40,,10.517742027172753,2016-01-07 02:42:11.511,2016-01-07 02:42:11.511,,,,,,,,
22,2016-01-07 03:48:00.000,2016-01-07 03:52:00.000,2016-01-07 03:59:00.000,B8.1,-946.7367,49.022328,2480,2016-01-07 03:52:09.925,2016-01-07 03:49:40,,10.221779261544384,2016-01-07 03:52:09.925,2016-01-07 03:52:09.925,13.148438213832371,17.245396044187533,15.368342296642977,14.088930879209403,13.495190246781961,12.485898517645117,12.066599261906937,11.955900163889943
23,2016-01-07 06:11:00.000,2016-01-07 06:17:00.000,2016-01-07 06:23:00.000,C1.0,-933.8856,18.2206416,2480,2016-01-07 06:17:20.075,2016-01-07 06:12:00.000,,9.34419176921124,2016-01-07 06:17:20.075,2016-01-07 06:17:20.075,,,,,,,,
24,2016-01-07 12:36:00.000,2016-01-07 12:39:00.000,2016-01-07 12:41:00.000,B4.3,-923.34654,37.4643336,2480,2016-01-07 12:38:44.268,2016-01-07 12:37:40,,8.858199874882228,2016-01-07 12:38:44.268,2016-01-07 12:38:44.268,,,,,,,,
25,2016-01-08 00:04:00.000,2016-01-08 00:21:00.000,2016-01-08 00:28:00.000,B4.2,766.41636,-283.90833,2481,2016-01-08 00:21:55.028,2016-01-08 00:11:20,,7.1596243615136395,2016-01-08 00:21:55.028,2016-01-08 00:21:55.028,,,,,,,,
26,2016-01-08 04:09:00.000,2016-01-08 04:14:00.000,2016-01-08 04:18:00.000,B4.5,783.88548,-285.469044,2481,2016-01-08 04:13:04.141,2016-01-08 04:10:00,,9.4674802390725,2016-01-08 04:13:04.141,2016-01-08 04:13:04.141,,,,,,,,
27,2016-01-08 11:23:00.000,2016-01-08 11:31:00.000,2016-01-08 11:41:00.000,B8.6,34.173561,98.861808,2482,2016-01-08 11:30:51.671,2016-01-08 11:21:40,,8.689307496078946,2016-01-08 11:30:51.671,2016-01-08 11:30:51.671,9.002513540677736,11.973948880228395,11.705964644976884,10.630981859796773,10.066286496512433,9.504935814269016,9.358364736665283,9.34462854141877
